Date,Open,High,Low,Close,Adj Close,Volume
1992-11-23,1455.000000,1467.900024,1455.000000,1458.900024,1458.900024,0
1992-11-30,1456.400024,1456.400024,1442.099976,1443.199951,1443.199951,0
1992-12-07,1454.300049,1515.099976,1454.300049,1513.300049,1513.300049,0
1992-12-14,1525.900024,1529.400024,1508.500000,1529.400024,1529.400024,0
1992-12-21,1551.699951,1551.699951,1536.400024,1547.599976,1547.599976,0
1992-12-28,1553.500000,1564.699951,1552.300049,1564.699951,1564.699951,0
1993-01-04,1576.099976,1579.900024,1510.400024,1510.400024,1510.400024,0
1993-01-11,1523.599976,1534.099976,1502.199951,1534.099976,1534.099976,0
1993-01-18,1538.300049,1538.300049,1527.599976,1533.000000,1533.000000,0
1993-01-25,1532.800049,1544.400024,1532.800049,1536.500000,1536.500000,0
1993-02-01,1538.300049,1552.500000,1538.300049,1552.500000,1552.500000,0
1993-02-08,1568.500000,1614.300049,1568.500000,1614.300049,1614.300049,0
1993-02-15,1607.199951,1623.900024,1604.300049,1604.300049,1604.300049,0
1993-02-22,1615.699951,1620.199951,1615.199951,1620.199951,1620.199951,0
1993-03-01,1652.800049,1658.000000,1623.599976,1623.599976,1623.599976,0
1993-03-08,1626.500000,1672.800049,1626.500000,1671.900024,1671.900024,0
1993-03-15,1635.300049,1689.699951,1635.300049,1689.699951,1689.699951,0
1993-03-22,1674.900024,1685.599976,1670.000000,1685.599976,1685.599976,0
1993-03-29,1686.300049,1692.300049,1674.500000,1692.300049,1692.300049,0
1993-04-05,1678.699951,1678.699951,1662.000000,1674.300049,1674.300049,0
1993-04-12,1699.199951,1714.699951,1699.199951,1713.400024,1713.400024,0
1993-04-19,1705.500000,1714.400024,1702.400024,1710.900024,1710.900024,0
1993-04-26,1716.000000,1716.000000,1684.000000,1685.199951,1685.199951,0
1993-05-03,1668.699951,1696.000000,1668.099976,1688.500000,1688.500000,0
1993-05-10,1673.900024,1698.900024,1673.900024,1698.900024,1698.900024,0
1993-05-17,1686.199951,1695.099976,1676.400024,1695.099976,1695.099976,0
1993-05-24,1683.699951,1762.500000,1683.699951,1762.500000,1762.500000,0
1993-05-31,1737.400024,1742.599976,1732.800049,1739.800049,1739.800049,0
1993-06-07,1736.900024,1736.900024,1708.699951,1715.099976,1715.099976,0
1993-06-14,1726.500000,1730.500000,1726.000000,1730.500000,1730.500000,0
1993-06-21,1726.800049,1726.800049,1697.699951,1699.099976,1699.099976,0
1993-06-28,1714.599976,1764.000000,1714.599976,1764.000000,1764.000000,0
1993-07-05,1759.599976,1776.900024,1757.300049,1776.900024,1776.900024,0
1993-07-12,1797.500000,1802.699951,1796.800049,1796.800049,1796.800049,0
1993-07-19,1794.300049,1815.400024,1794.300049,1804.400024,1804.400024,0
1993-07-26,1792.500000,1837.099976,1792.500000,1837.099976,1837.099976,0
1993-08-02,1846.699951,1857.000000,1836.000000,1836.000000,1836.000000,0
1993-08-09,1837.199951,1868.199951,1837.199951,1852.599976,1852.599976,0
1993-08-16,1867.199951,1924.000000,1867.199951,1923.900024,1923.900024,0
1993-08-23,1929.500000,1946.800049,1916.900024,1946.800049,1946.800049,0
1993-08-30,1955.000000,1977.300049,1953.000000,1953.000000,1953.000000,0
1993-09-06,1919.500000,1923.599976,1888.300049,1896.599976,1896.599976,0
1993-09-13,1893.800049,1893.800049,1856.500000,1879.699951,1879.699951,0
1993-09-20,1878.400024,1902.300049,1874.699951,1902.300049,1902.300049,0
1993-09-27,1897.699951,1928.800049,1896.900024,1928.800049,1928.800049,0
